STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Parc de Bullion (de Bullion / Prince-Arthur),Le Plateau-Mont-Royal,45.515604,-73.572135,Métro Peel (de Maisonneuve / Stanley),Ville-Marie,45.50038,-73.57507,1653343961208,1653344594048
Métro Mont-Royal (Rivard / du Mont-Royal),Le Plateau-Mont-Royal,45.524673,-73.58255,St-Christophe / René-Lévesque,Ville-Marie,45.5149464,-73.5562329,1653343962277,1653344826564
Bernard / Jeanne-Mance,Le Plateau-Mont-Royal,45.524287,-73.604973,Prince-Arthur / St-Urbain,Le Plateau-Mont-Royal,45.512587,-73.573739,1653343965160,1653344522023
Milton / Durocher,Le Plateau-Mont-Royal,45.508141,-73.57493,Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.472668,-73.58539,1653343965881,1653345833876
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),Côte-des-Neiges - Notre-Dame-de-Grâce,45.5039817,-73.6228395,Parc Kent (de Kent / Hudson),Côte-des-Neiges - Notre-Dame-de-Grâce,45.505721,-73.629459,1653343961050,1653344663653
Bourget / St-Jacques,Le Sud-Ouest,45.4808458,-73.5838616,Ste-Émilie / St-Rémi,Le Sud-Ouest,45.4697664,-73.5892588,1653343968415,1653344773683
Métro Mont-Royal (Rivard / du Mont-Royal),Le Plateau-Mont-Royal,45.524673,-73.58255,de Lanaudière / du Mont-Royal,Le Plateau-Mont-Royal,45.5302211,-73.5769965,1653343970177,1653344370059
de St-Firmin / Fleury,Ahuntsic-Cartierville,45.570657,-73.651842,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),Ahuntsic-Cartierville,45.5534001,-73.6622545,1653343970470,1653344865301
Métro Papineau (Cartier / Ste-Catherine),Ville-Marie,45.52353,-73.55199,Métro Place-d'Armes (Viger / St-Urbain),Ville-Marie,45.50623,-73.55976,1653343971225,1653345661760
16e avenue / Jean-Talon,Villeray - Saint-Michel - Parc-Extension,45.56244,-73.595333,Marquette / Villeray,Villeray - Saint-Michel - Parc-Extension,45.550684,-73.615293,1653343976834,1653344634074
Jeanne-Mance / Laurier,Le Plateau-Mont-Royal,45.5201249,-73.5952138,Bernard / St-Urbain,Le Plateau-Mont-Royal,45.526267,-73.603191,1653343976953,1653344334979
